First Name,Last Name,Email,Phone,Date of Birth,Contact Name,Contact Relationship,Contact Phone,Medical Conditions,Experience Points,Days Available,Locations,Positions
John,Doe,john.doe@example.com,(555) 123-4567,01/15/1990,Jane Doe,Spouse,(555) 123-4568,None,150,Monday Wednesday Friday,Downtown Kitchen,Food Prep
Sarah,Smith,sarah.smith@gmail.com,555-987-6543,1985-03-22,Bob Smith,Brother,555-987-6544,Allergic to nuts,320,Tuesday Thursday,Community Center,Serving
Mike,Johnson,mike.j@hotmail.com,+1-555-111-2233,12/05/1978,Lisa Johnson,Wife,555-111-2234,"Diabetes, requires breaks",75,Weekends,Both locations,Kitchen Help
Emily,Davis,emily.davis@yahoo.com,5551234567,07/30/1995,Tom Davis,Father,555-123-4569,,200,Monday Tuesday Wednesday,Downtown Kitchen,Food Prep Serving
Alex,Wilson,alex.wilson@example.org,(555) 444-5555,2000-11-12,Mary Wilson,Mother,(555) 444-5556,None,50,Friday Saturday,Community Center,Cleaning
,Rodriguez,maria.r@email.com,555.777.8888,03/14/1988,Carlos Rodriguez,Husband,555.777.8889,Back problems,180,Monday through Friday,Downtown Kitchen,Management
David,,david.volunteer@test.com,555-666-7777,1992-08-07,Nancy Lee,Sister,555-666-7778,None,90,Flexible,Both,Any position
Lisa,Brown,lisa.brown@domain.com,15551239999,05/20/1983,Emergency Contact,Friend,555-123-0000,Vegetarian,250,Weekdays,Community Center,Food Prep
,Empty,,,,,,,,0,,,
Invalid,Email,not-an-email,555-1234,invalid-date,Contact,Relation,555-5678,None,abc,Monday,Location,Position
